t,q1,q2,q3,p1,p2,p3,K,V
8.5498046875,-0.5912609525720064,-0.24503213811750468,0.01355101125383616,0.374231401240765,-0.6987172013668834,-0.4322864907687627,0.22322127105900097,-0.11745715840938717
8.5546875,-0.589436186890445,-0.24673851792863757,0.012847439019101112,0.37319265611531766,-0.6991498489723722,-0.4322632664026652,0.2229809290322425,-0.11721681638263386
8.5595703125,-0.5876164926654005,-0.24844595920260154,0.012143903629511892,0.37215414091961263,-0.699586752108671,-0.4322412167744999,0.22274350314641395,-0.11697939049681036
8.564453125,-0.5858018686533332,-0.2501544723315911,0.011440403166647925,0.3711159050906316,-0.7000279129403202,-0.43222034974046963,0.22250901568447679,-0.11674490303487826
8.5693359375,-0.5839923133701533,-0.2518640677126487,0.010736935699414937,0.37007799772051575,-0.7004733332741541,-0.4322006730177367,0.22227748848162812,-0.1165133758320347
8.57421875,-0.5821878250929068,-0.25357475574679084,0.010033499284271621,0.369040467555988,-0.7009230145587128,-0.43218219418398196,0.22204894292643632,-0.11628483027684788
8.5791015625,-0.5803884018614626,-0.2552865468381325,0.009330091965457008,0.3680033629977918,-0.7013769578836803,-0.43216492067697426,0.22182339996200628,-0.11605928731242283
8.583984375,-0.5785940414802038,-0.2569994513930104,0.008626711775218532,0.3669667321001464,-0.7018351639793512,-0.43214885979414897,0.22160088008717485,-0.11583676743759631
8.5888671875,-0.5768047415197209,-0.258713479819105,0.007923356734040774,0.36593062257021897,-0.702297633216124,-0.43213401869219636,0.22138140335773432,-0.11561729070816074
8.59375,-0.5750204993185076,-0.26042864252456116,0.00722002485087487,0.3648950817676133,-0.7027643656040224,-0.4321204043866604,0.22116498938768445,-0.11540087673811578
8.5986328125,-0.5732413119846589,-0.262144949917108,0.006516714123368556,0.36386015670387584,-0.7032353607922449,-0.43210802375154667,0.22095165735051214,-0.11518754470094833
8.603515625,-0.571467176397572,-0.26386241240317726,0.0058134225380968504,0.36282589404201765,-0.7037106180687426,-0.4320968835189417,0.22074142598049792,-0.114977313330939
